external_id,parking_name,address,parking_type,phone_number,operation_type,total_capacity,monthly_fee,base_fee,base_time_min,extra_fee,extra_time_min,daily_max_fee,weekday_pay_type,saturday_pay_type,holiday_pay_type,weekday_open,weekday_close,weekend_open,weekend_close,holiday_open,holiday_close
DUMMY1,서울역 철도 KTX 민영주차장,서울특별시 용산구 청파로 378,노외 주차장,010-0000-0000,시간제 주차장,114,-1,2400,30,800,10,-1,True,True,False,0000,2400,0000,2400,0000,2400
DUMMY2,상암 월드컵 공영주차장,서울 마포구 월드컵북로 240,노상 주차장,010-1111-2222,시간제 주차장,85,-1,2400,30,800,10,-1,True,True,False,0000,2400,0000,2400,0000,2400
DUMMY3,강남역 지하주차장,서울 강남구 강남대로 396,노외 주차장,010-2222-3333,시간제 주차장,200,-1,2400,30,800,10,-1,True,True,False,0000,2400,0000,2400,0000,2400
DUMMY4,광화문 공영주차장,서울 종로구 세종대로 175,노외 주차장,010-3333-4444,시간제 주차장,160,-1,2400,30,800,10,-1,True,True,False,0000,2400,0000,2400,0000,2400
DUMMY5,코엑스 지하주차장,서울 강남구 봉은사로 524,노외 주차장,010-4444-5555,시간제 주차장,300,-1,2400,30,800,10,-1,True,True,False,0000,2400,0000,2400,0000,2400
DUMMY6,노원문화예술회관 주차장,서울 노원구 노해로 437,노외 주차장,010-5555-6666,시간제 주차장,70,-1,2400,30,800,10,-1,True,True,False,0000,2400,0000,2400,0000,2400
DUMMY7,신촌 현대백화점 주차장,서울 서대문구 연세로 2,노외 주차장,010-6666-7777,시간제 주차장,120,-1,2400,30,800,10,-1,True,True,False,0000,2400,0000,2400,0000,2400
DUMMY8,한강시민공원 반포 주차장,서울 서초구 신반포로 11길,노상 주차장,010-7777-8888,시간제 주차장,95,-1,2400,30,800,10,-1,True,True,False,0000,2400,0000,2400,0000,2400
DUMMY9,롯데월드몰 지하주차장,서울 송파구 올림픽로 300,노외 주차장,010-8888-9999,시간제 주차장,350,-1,2400,30,800,10,-1,True,True,False,0000,2400,0000,2400,0000,2400
DUMMY10,경복궁 서문 주차장,서울 종로구 사직로 161,노상 주차장,010-9999-0000,시간제 주차장,60,-1,2400,30,800,10,-1,True,True,False,0000,2400,0000,2400,0000,2400
DUMMY11,홍대입구 공영주차장,서울 마포구 양화로 174,노외 주차장,010-1212-3434,시간제 주차장,90,-1,2400,30,800,10,-1,True,True,False,0000,2400,0000,2400,0000,2400
DUMMY12,동대문 디자인플라자 주차장,서울 중구 을지로 281,노외 주차장,010-5656-7878,시간제 주차장,110,-1,2400,30,800,10,-1,True,True,False,0000,2400,0000,2400,0000,2400
DUMMY13,합정 메세나폴리스 주차장,서울 마포구 양화로 45,노외 주차장,010-8787-9898,시간제 주차장,100,-1,2400,30,800,10,-1,True,True,False,0000,2400,0000,2400,0000,2400
DUMMY14,건대입구역 공영주차장,서울 광진구 아차산로 272,노상 주차장,010-3434-5656,시간제 주차장,80,-1,2400,30,800,10,-1,True,True,False,0000,2400,0000,2400,0000,2400
DUMMY15,이태원 공영주차장,서울 용산구 이태원로 173,노상 주차장,010-6767-8787,시간제 주차장,75,-1,2400,30,800,10,-1,True,True,False,0000,2400,0000,2400,0000,2400
DUMMY16,서울숲 주차장,서울 성동구 뚝섬로 273,노외 주차장,010-2121-3232,시간제 주차장,130,-1,2400,30,800,10,-1,True,True,False,0000,2400,0000,2400,0000,2400
DUMMY17,양재 시민의숲 주차장,서울 서초구 매헌로 99,노외 주차장,010-4343-5454,시간제 주차장,105,-1,2400,30,800,10,-1,True,True,False,0000,2400,0000,2400,0000,2400
DUMMY18,서울식물원 주차장,서울 강서구 마곡동로 161,노외 주차장,010-6767-7878,시간제 주차장,140,-1,2400,30,800,10,-1,True,True,False,0000,2400,0000,2400,0000,2400
DUMMY19,난지 한강공원 주차장,서울 마포구 상암동 481-6,노상 주차장,010-8989-9090,시간제 주차장,90,-1,2400,30,800,10,-1,True,True,False,0000,2400,0000,2400,0000,2400
DUMMY20,뚝섬유원지 주차장,서울 광진구 자양동 427-6,노외 주차장,010-1010-1111,시간제 주차장,100,-1,2400,30,800,10,-1,True,True,False,0000,2400,0000,2400,0000,2400
